,The cyber-attacker accessed your computer files.,The cyber-attacker accessed your computer programs.,The cyber-attacker accessed your information stored in an Internet site.,The cyber-attacker caused a program on your computer to crash.,The cyber-attacker caused your computer program to run very slowly.,The cyber-attacker caused your computer to crash.,The cyber-attacker caused your computer to run very slowly.,The cyber-attacker caused your Internet connection to run very slowly.,The cyber-attacker caused your request for a certain Internet page to actually take you to a different Internet page.,The cyber-attacker changed a device’s serial number.,The cyber-attacker changed how an Internet service functions so as to benefit the attacker.,The cyber-attacker changed the appearance of an Internet site.,The cyber-attacker completely filled your computer’s storage space.,The cyber-attacker deleted your information stored in an Internet site.,The cyber-attacker determined your password.,The cyber-attacker disrupted the availability of an Internet service.,The cyber-attacker floods your inbox with a very large number of emails.,The cyber-attacker forged a digital signature on an electronic document.,The cyber-attacker gained information about existing hidden pathways by which they can enter your system from the Internet.,The cyber-attacker gained information about the device that you use to create your home network.,The cyber-attacker gains your username and password for a given Internet site.,The cyber-attacker intercepted Internet traffic as it passes between your computer and the Internet.,The cyber-attacker irreparably damaged your computer’s hardware.,The cyber-attacker issued commands to your computer’s operating system.,The cyber-attacker made an Internet page that you use act differently than intended.,The cyber-attacker made you think an Internet site that the attacker created was a legitimate Internet site.,The cyber-attacker made you think that an email that you received from the attacker came from someone else.,The cyber-attacker made you think that information sent to your Internet browser came from a trusted source.,The cyber-attacker made you think that you had a secure connection to an Internet site when it was not secure.,The cyber-attacker made your computer perform tasks that benefit the attacker.,The cyber-attacker made your computer run software that your computer did not intend to run.,The cyber-attacker made your computer think that your password was entered when it was not.,The cyber-attacker modified the content of a digital message without your awareness.,The cyber-attacker modified your computer files in order to hide their activities.,The cyber-attacker modified your information stored in an Internet site.,The cyber-attacker modified your information within an Internet database.,The cyber-attacker opened new hidden pathways by which they can enter your system from the Internet.,The cyber-attacker performed actions on an Internet site as if they were you.,The cyber-attacker prevented you from accessing your home network.,The cyber-attacker prevented you from logging into an Internet site.,The cyber-attacker prevented you from logging into your computer.,The cyber-attacker prevented you from using your computer until you pay a ransom.,The cyber-attacker removed your computer files in order to hide their activities.,The cyber-attacker rerouted your Internet requests to a device that they control.,The cyber-attacker saw what was presented on your computer screen.,The cyber-attacker sent you an email that asks you to click on a given Internet link.,The cyber-attacker sent you an email that asks you to respond with certain personal information.,The cyber-attacker shut down an Internet site that you were using.,The cyber-attacker took control over one of your financial accounts.,The cyber-attacker used your computer to store and distribute stolen software.
The cyber-attacker accessed your computer files.,1.0000000000000002,0.6505135423887337,0.26734688175846144,0.020111975902836983,0.01857309820244456,0.025664239797521467,0.022186209486500526,0.017905118575961304,0.011222098671664613,0.019051442381833546,0.01590074883529348,0.020925822348594064,0.0164196450266606,0.018908328829737333,0.02574999116164637,0.018758636584793955,0.0164196450266606,0.0164196450266606,0.013991523681349089,0.01447072104215773,0.016142308233910697,0.015002787162713164,0.018332509956601947,0.0164196450266606,0.014720993251927578,0.013466837267512048,0.013868960557003849,0.012983106828784575,0.015823689457385652,0.016528311053889112,0.015085544316677992,0.01807603031015592,0.015504561509461643,0.2281334486126694,0.020496069012146498,0.0174273840243796,0.014677562586314443,0.019983985771396946,0.019768426142818523,0.021887292469234158,0.023406594109647533,0.01708410466643262,0.21952661140044427,0.0164196450266606,0.018332509956601947,0.014677562586314443,0.01447072104215773,0.019983985771396946,0.0164196450266606,0.015002787162713164
The cyber-attacker accessed your computer programs.,0.6505135423887337,1.0000000000000002,0.25126192988458323,0.018901936861581203,0.017455645891910256,0.02412014824385315,0.020851373974274296,0.01682785532644781,0.010546919982949928,0.01790521044591512,0.014944078691650684,0.019666818154550167,0.015431755441778093,0.01777070733499116,0.02420074036858092,0.017630021338933013,0.015431755441778093,0.015431755441778093,0.013149722260002964,0.013600088663682057,0.015171104644895789,0.014100142972891258,0.01722953266193596,0.015431755441778093,0.013835303220925571,0.012656603656719521,0.013034533158289438,0.01220197690820786,0.014871655598920099,0.015533883566612533,0.014177921034412637,0.016988484139064588,0.014571728015893574,0.0157992088374702,0.019262920970562397,0.016378863721932244,0.013794485565651824,0.018781647269197402,0.018579056807226907,0.02057044132924144,0.021998334034539452,0.016056237800881758,0.01520314885865961,0.015431755441778093,0.01722953266193596,0.013794485565651824,0.013600088663682057,0.018781647269197402,0.015431755441778093,0.014100142972891258
The cyber-attacker accessed your information stored in an Internet site.,0.26734688175846144,0.25126192988458323,1.0000000000000002,0.016179249906286535,0.014941286664378092,0.02064581577389383,0.017847884737405784,0.014403924778037721,0.009027712630475878,0.01532609470397306,0.012791492509048725,0.12492146934068797,0.013208922959249528,0.4953053557145722,0.020714799187392552,0.01509054459257676,0.013208922959249528,0.013208922959249528,0.011255600111291956,0.01164109449992944,0.09636519079336892,0.012069119611570532,0.014747743405734186,0.013208922959249528,0.011842428105639147,0.14995320159094885,0.011157003164494838,0.01044437060573896,0.09446312333527856,0.013296340268187604,0.012135694307264211,0.014541416174845802,0.012472776248383732,0.013523447357534862,0.5368963510326612,0.014019607158712323,0.011807489937656748,0.11929896107590893,0.01590287838270096,0.13066118452113337,0.018829633517091795,0.013743453162370753,0.013013245496903652,0.013208922959249528,0.014747743405734186,0.011807489937656748,0.01164109449992944,0.11929896107590893,0.013208922959249528,0.012069119611570532
The cyber-attacker caused a program on your computer to crash.,0.020111975902836983,0.018901936861581203,0.016179249906286535,1.0,0.15125014714250165,0.5186980719711433,0.18067354260399604,0.14581045066900275,0.09138723420487505,0.01564646798647272,0.013058883029748782,0.017185848866755535,0.01348503935344373,0.015528932444206429,0.021147816752543434,0.015405993987821458,0.01348503935344373,0.01348503935344373,0.011490884678157077,0.011884437355945089,0.013257269656941895,0.012321409809531888,0.015056026961044133,0.01348503935344373,0.012089979594668267,0.011059972991130871,0.01139022668266491,0.010662697411049391,0.012995596110820165,0.013574284014408054,0.012389376167889982,0.014845386711509737,0.012733504395100886,0.013806138499951047,0.016832903316175152,0.01431266991550372,0.0120543110869759,0.016412342296583417,0.016235308623219962,0.017975479969799476,0.019223243997429782,0.014030743257307176,0.01328527149285004,0.01348503935344373,0.015056026961044133,0.0120543110869759,0.011884437355945089,0.016412342296583417,0.01348503935344373,0.012321409809531888
The cyber-attacker caused your computer program to run very slowly.,0.01857309820244456,0.017455645891910256,0.014941286664378092,0.15125014714250165,1.0,0.43769140050453914,0.58990127842718,0.30536327931557106,0.08439469515760104,0.014449270814468831,0.012059676189824182,0.01587086521168692,0.012453224953397558,0.01434072856186592,0.01952968118149376,0.014227196801768052,0.012453224953397558,0.012453224953397558,0.010611654001150224,0.010975093802774125,0.012242883166936247,0.011378631094755762,0.01390400767369059,0.012453224953397558,0.011164908876290467,0.010213713733203213,0.010518697901552196,0.009846835888980774,0.012001231700537303,0.012535641015356962,0.01144139697386908,0.013709484666160638,0.011759194060992661,0.012749755041222508,0.015544925463016048,0.01321752895707908,0.011131969561958277,0.015156543876108139,0.014993056021090613,0.016600077303596347,0.01775236805467001,0.012957174055409134,0.012268742428636006,0.012453224953397558,0.01390400767369059,0.011131969561958277,0.010975093802774125,0.015156543876108139,0.012453224953397558,0.011378631094755762
The cyber-attacker caused your computer to crash.,0.025664239797521467,0.02412014824385315,0.02064581577389383,0.5186980719711433,0.43769140050453914,1.0000000000000002,0.5228375468749419,0.18606398441567842,0.1166162839691614,0.01996595005528202,0.016664016861514877,0.021930304042287595,0.017207821117017914,0.0198159667639323,0.026986042691844982,0.019659088989205254,0.017207821117017914,0.017207821117017914,0.014663145048035255,0.015165344849014707,0.01691717159864776,0.01572295121687939,0.019212507423086136,0.017207821117017914,0.015427630629814938,0.014113272627701106,0.0145346986464321,0.01360632215191656,0.01658325847798871,0.01732170333280328,0.015809680881209404,0.01894371623612484,0.01624881174467622,0.017617565317913704,0.021479921678599228,0.01826393361989084,0.015382115204624541,0.020943257409089543,0.020717350483415723,0.02293792666862748,0.024530157853197874,0.017904176160145207,0.016952903832764852,0.017207821117017914,0.019212507423086136,0.015382115204624541,0.015165344849014707,0.020943257409089543,0.017207821117017914,0.01572295121687939
The cyber-attacker caused your computer to run very slowly.,0.022186209486500526,0.020851373974274296,0.017847884737405784,0.18067354260399604,0.58990127842718,0.5228375468749419,1.0000000000000002,0.3647670200488326,0.10081238821369315,0.01726015475300669,0.014405701158226052,0.018958298528360486,0.014875808795445294,0.01713049727054812,0.023328881007055612,0.01699487964846658,0.014875808795445294,0.014875808795445294,0.012675988470076206,0.01311012990876729,0.014624548241749347,0.01359216918934038,0.016608819034285245,0.014875808795445294,0.013336870592460803,0.012200635028687278,0.01256494918754776,0.011762386728960773,0.014335887190275374,0.014974257637730696,0.2144856787153613,0.016376454560250664,0.014046764841595349,0.015230024262128652,0.018568952202552686,0.015788796416154553,0.013297523439920605,0.01810501693693802,0.01790972502815782,0.0198293676442855,0.021205818881123974,0.015477793463048627,0.014655438026048318,0.014875808795445294,0.016608819034285245,0.013297523439920605,0.01311012990876729,0.01810501693693802,0.014875808795445294,0.01359216918934038
The cyber-attacker caused your Internet connection to run very slowly.,0.017905118575961304,0.01682785532644781,0.014403924778037721,0.14581045066900275,0.30536327931557106,0.18606398441567842,0.3647670200488326,1.0000000000000002,0.08135944835418278,0.013929604229152764,0.011625951137117169,0.015300071125502988,0.012005345958616406,0.013824965687851064,0.01882729814346975,0.013715517086194375,0.012005345958616406,0.012005345958616406,0.010230006922197886,0.010580375647564519,0.011802569093549618,0.010969399761042933,0.013403951422910105,0.012005345958616406,0.010763364040872404,0.009846378536342302,0.010140393979461036,0.00949269541723667,0.011569608598064888,0.012084797935118241,0.011029908271567067,0.013216424415966375,0.011336275818113174,0.012291211371374905,0.014985853767420919,0.012742161844950244,0.010731609385698553,0.01461144028559316,0.014453832254993661,0.01600305717717554,0.017113905906185216,0.012491170581380683,0.011827498329478606,0.012005345958616406,0.013403951422910105,0.010731609385698553,0.010580375647564519,0.01461144028559316,0.012005345958616406,0.010969399761042933
The cyber-attacker caused your request for a certain Internet page to actually take you to a different Internet page.,0.011222098671664613,0.010546919982949928,0.009027712630475878,0.09138723420487505,0.08439469515760104,0.1166162839691614,0.10081238821369315,0.08135944835418278,1.0000000000000004,0.008730430488556339,0.007286607472560435,0.009589375637221263,0.0075243945670340285,0.008664847899400896,0.011800078094457525,0.008596250587293951,0.0075243945670340285,0.0075243945670340285,0.006411694321133704,0.006631289203504854,0.007397303423880952,0.00687511149200803,0.008400975666256966,0.0075243945670340285,0.20499036001886425,0.00617125382468803,0.00635552908093243,0.005949581633897056,0.007251294579770901,0.007574191384417826,0.006913035422681628,0.008283442427557849,0.00710505240500712,0.007703561761888519,0.009392438756753971,0.007986196623480026,0.0067260755029993095,0.009157773735171055,0.009058992324518525,0.010029974720841111,0.010726203231886899,0.007828886929408247,0.007412927913839924,0.0075243945670340285,0.008400975666256966,0.0067260755029993095,0.006631289203504854,0.009157773735171055,0.0075243945670340285,0.00687511149200803
The cyber-attacker changed a device’s serial number.,0.019051442381833546,0.01790521044591512,0.01532609470397306,0.01564646798647272,0.014449270814468831,0.01996595005528202,0.01726015475300669,0.013929604229152764,0.008730430488556339,1.0000000000000002,0.16787435131765874,0.22092725876919095,0.012773953762675878,0.014710069420402008,0.02003266184829821,0.014593613686283936,0.012773953762675878,0.012773953762675878,0.01088495374198032,0.011257753818975091,0.012558194691056252,0.011671684084314312,0.01426210092600615,0.012773953762675878,0.011452457518750077,0.010476764650232232,0.01078960358789032,0.01010043798495594,0.01231031956874741,0.012858492423842844,0.011736066478486714,0.014062568040889005,0.012062048327527525,0.013078120887681094,0.01594528002600924,0.013557942170513334,0.011418669862955836,0.015546895796060611,0.015379197363841803,0.017027606963378007,0.018209574592683395,0.01329088191196476,0.012584719949736296,0.012773953762675878,0.01426210092600615,0.011418669862955836,0.011257753818975091,0.015546895796060611,0.012773953762675878,0.011671684084314312
